GeneName	rank
ERGIC3	-0.165354437959117
ANG	-0.156133755221757
FSTL1	-0.155098693457787
NDUFB4	-0.144789973132309
CNKSR1	-0.136632689616772
CSRP1	-0.129005295444847
CHAC2	-0.125413365081631
ARHGEF12	-0.124894734560656
DENND5B	-0.123966322921324
TRAM2	-0.122122195398505
OTOF	-0.116943788297509
RABAC1	-0.116787994245813
IGHV3-72	-0.110954043297737
CCNE1	-0.11052070607226
FAH	-0.105238885592681
ITGA7	-0.103726074256394
GLUL	-0.102740240403125
MFSD13A	-0.0998908361784043
MRPL40	-0.0951101885736331
GINS1	-0.0899206430765606
SPX	-0.087442331575782
SUB1	-0.0725184236569173
CPNE5	-0.0713867656009301
COX6B1	-0.0692616676598473
APOBEC3A	-0.0662834495055347
PSMD7	-0.0578165581309503
PSMC3	-0.0568839239381169
TNFRSF12A	-0.0556205476470456
LRPAP1	-0.0504939598554054
FFAR2	-0.0481930832513159
COX4I1	-0.047029286353031
TCN2	-0.0463904832780488
STRADB	-0.0266954717607353
ZBTB32	-0.025924559962954
MRPL52	-0.0252402816374971
MTFR2	-0.0171552753871154
TXNDC17	-0.0127140410006876
SHMT1	-0.0118844964289438
MEIS1	-0.00937473211441836
DNAJB11	-0.00754397346193015
DPM1	0
C1orf112	0
FGR	0
CFH	0
FUCA2	0
GCLC	0
STPG1	0
LAS1L	0
ENPP4	0
ANKIB1	0
CYP51A1	0
KRIT1	0
RAD52	0
BAD	0
LAP3	0
HS3ST1	0
WNT16	0
MAD1L1	0
LASP1	0
SNX11	0
TMEM176A	0
M6PR	0
KLHL13	0
ICA1	0
DBNDD1	0
ALS2	0
CASP10	0
CFLAR	0
NDUFAF7	0
ARF5	0
SARM1	0
PLXND1	0
AK2	0
FKBP4	0
KDM1A	0
RBM6	0
CAMKK1	0
RECQL	0
ARHGAP33	0
PDK4	0
SLC22A16	0
ZMYND10	0
SLC25A13	0
ST7	0
CDC27	0
HCCS	0
DVL2	0
SKAP2	0
SLC25A5	0
MCUB	0
POLR2J	0
DHX33	0
MEOX1	0
LIG3	0
RPAP3	0
REXO5	0
CIAPIN1	0
SPPL2B	0
FAM214B	0
COPZ2	0
MSL3	0
CREBBP	0
TSPOAP1	0
MPO	0
GCFC2	0
WDR54	0
CROT	0
ABCB4	0
KMT2E	0
RHBDD2	0
SOX8	0
IBTK	0
ZNF195	0
MYCBP2	0
ITGAL	0
PDK2	0
ITGA3	0
ZFX	0
LAMP2	0
GDE1	0
REX1BD	0
OSBPL7	0
AP2B1	0
ZNF263	0
SPATA20	0
MAP3K9	0
RALA	0
BAIAP2L1	0
KDM7A	0
AGK	0
ALDH3B1	0
TTC22	0
PHTF2	0
FARP2	0
GGCT	0
DBF4	0
TBXA2R	0
IFRD1	0
COX10	0
PAF1	0
VPS41	0
ELAC2	0
ARSD	0
PNPLA4	0
ADIPOR2	0
MARK4	0
CCDC124	0
CEACAM21	0
PAFAH1B1	0
KIAA0100	0
GAS7	0
TRAPPC6A	0
MATK	0
CD79B	0
ST7L	0
TKTL1	0
RPUSD1	0
LUC7L	0
CACNA2D2	0
BAIAP3	0
TSR3	0
PIGQ	0
CRAMP1	0
DNAJC11	0
MYLIP	0
JARID2	0
CDKL5	0
CDK11A	0
NADK	0
DLEC1	0
ADAM22	0
SYPL1	0
CYB561	0
SPAG9	0
CELSR3	0
AASS	0
SS18L2	0
MPND	0
MGST1	0
CRY1	0
NFIX	0
ST3GAL1	0
MMP25	0
IL32	0
PKD1	0
MED24	0
RHOBTB2	0
SEC62	0
RPS20	0
CSDE1	0
REV3L	0
TENM1	0
FAM76A	0
TRAF3IP3	0
POMT2	0
VTA1	0
BAZ1B	0
RANBP9	0
ETV7	0
SPRTN	0
EEF1AKNMT	0
DYRK4	0
ZNF207	0
UQCRC1	0
STARD3NL	0
CD9	0
NCAPD2	0
IFFO1	0
GIPR	0
PHF7	0
NISCH	0
STAB1	0
FUZ	0
IDS	0
LRRC23	0
BTK	0
HFE	0
SCMH1	0
FYN	0
HIVEP2	0
ELOA	0
LYPLA2	0
CLCN6	0
MRC2	0
BTBD7	0
APBA3	0
MKS1	0
ABHD5	0
AKAP8L	0
MBTD1	0
UTP18	0
TTC19	0
PTBP1	0
LARS2	0
PIK3C2A	0
PLAUR	0
WIZ	0
QPCTL	0
PPP5C	0
MAP4K3	0
TYROBP	0
TMEM159	0
ERCC1	0
CD22	0
MBTPS2	0
PRICKLE3	0
ELOVL5	0
ALOX5	0
CALCOCO1	0
UBR7	0
MAP4K5	0
PSMC4	0
MAN2B2	0
MVP	0
NUB1	0
PGM3	0
RWDD2A	0
CLK1	0
RNF14	0
DNASE1L1	0
DDX11	0
HEBP1	0
MAMLD1	0
CD6	0
TACC3	0
UFL1	0
POLA2	0
ZC3H3	0
CAPN1	0
ACP3	0
MDH1	0
SLC30A9	0
MTMR11	0
COX15	0
CCDC88C	0
YAF2	0
WAS	0
BID	0
MATR3	0
XYLT2	0
CHDH	0
GLT8D1	0
ATP2C1	0
RALBP1	0
RUFY3	0
SLC11A1	0
AGPS	0
CXorf56	0
TTC27	0
ZNF582	0
VSIG2	0
PHLDB1	0
MARCO	0
PRDM11	0
CD74	0
HGF	0
ZRANB1	0
NCDN	0
ADGRA2	0
ZFP64	0
MNAT1	0
SAMD4A	0
RUNX3	0
MRE11	0
PLEKHB1	0
SERPINB1	0
OSBPL5	0
FHL1	0
RTF2	0
NLRP2	0
SLC45A4	0
RNF10	0
ZNF839	0
ZDHHC6	0
GRAMD1B	0
RNH1	0
NDUFS1	0
RB1CC1	0
ERP44	0
ALAS1	0
BIRC3	0
AKAP11	0
GLRX2	0
SNAPC1	0
DERA	0
STRAP	0
ABCC2	0
DEF6	0
PLEKHO1	0
GCLM	0
UBR2	0
CCDC28A	0
RRAGD	0
HSF2	0
NR1H3	0
TYMP	0
NCAPH2	0
TOMM34	0
SEC63	0
KPNA6	0
VIM	0
RTEL1-TNFRSF6B	0
FAS	0
RNASET2	0
CD44	0
KCNG1	0
AGPAT4	0
SLAMF7	0
BTN3A1	0
MIPEP	0
PRKCH	0
IFNGR1	0
B4GALT7	0
SH2D2A	0
VRK2	0
TNFRSF1B	0
VEZT	0
POU2F2	0
BRD9	0
SNX1	0
TBPL1	0
BCLAF1	0
SLC39A9	0
ANK1	0
TFB1M	0
RABEP1	0
BAK1	0
IKZF2	0
GRN	0
FAM13B	0
ARHGAP31	0
CENPQ	0
SARS1	0
RANBP3	0
ARID4A	0
EIPR1	0
PNPLA6	0
IFT88	0
ALG1	0
ZCCHC8	0
ABCF2	0
CHPF2	0
LRRC7	0
FUT8	0
UBA6	0
GAB2	0
ATP6V0A1	0
SLC4A7	0
APBA2	0
MAP2K3	0
TMSB10	0
RNF19A	0
PEX3	0
